date,sku,qty_sold
2025-01-01,SKU001,10
2025-01-02,SKU001,7
2025-01-03,SKU001,9
2025-01-04,SKU001,9
2025-01-05,SKU001,4
2025-01-06,SKU001,8
2025-01-07,SKU001,7
2025-01-08,SKU001,6
2025-01-09,SKU001,5
2025-01-10,SKU001,9
2025-01-11,SKU001,7
2025-01-12,SKU001,5
2025-01-13,SKU001,8
2025-01-14,SKU001,9
2025-01-15,SKU001,7
2025-01-16,SKU001,5
2025-01-17,SKU001,9
2025-01-18,SKU001,6
2025-01-19,SKU001,5
2025-01-20,SKU001,10
2025-01-21,SKU001,5
2025-01-22,SKU001,8
2025-01-23,SKU001,7
2025-01-24,SKU001,9
2025-01-25,SKU001,7
2025-01-26,SKU001,7
2025-01-27,SKU001,6
2025-01-28,SKU001,9
2025-01-29,SKU001,7
2025-01-30,SKU001,6
2025-01-31,SKU001,9
2025-02-01,SKU001,8
2025-02-02,SKU001,6
2025-02-03,SKU001,8
2025-02-04,SKU001,10
2025-02-05,SKU001,9
2025-02-06,SKU001,6
2025-02-07,SKU001,7
2025-02-08,SKU001,10
2025-02-09,SKU001,7
2025-02-10,SKU001,8
2025-02-11,SKU001,8
2025-02-12,SKU001,6
2025-02-13,SKU001,9
2025-02-14,SKU001,8
2025-02-15,SKU001,8
2025-02-16,SKU001,5
2025-02-17,SKU001,8
2025-02-18,SKU001,8
2025-02-19,SKU001,6
2025-02-20,SKU001,8
2025-02-21,SKU001,7
2025-02-22,SKU001,9
2025-02-23,SKU001,4
2025-02-24,SKU001,8
2025-02-25,SKU001,7
2025-02-26,SKU001,11
2025-02-27,SKU001,8
2025-02-28,SKU001,7
2025-03-01,SKU001,9
2025-03-02,SKU001,5
2025-03-03,SKU001,7
2025-03-04,SKU001,7
2025-03-05,SKU001,8
2025-03-06,SKU001,8
2025-03-07,SKU001,9
2025-03-08,SKU001,10
2025-03-09,SKU001,6
2025-03-10,SKU001,8
2025-03-11,SKU001,6
2025-03-12,SKU001,8
2025-03-13,SKU001,8
2025-03-14,SKU001,6
2025-03-15,SKU001,10
2025-03-16,SKU001,4
2025-03-17,SKU001,7
2025-03-18,SKU001,9
2025-03-19,SKU001,6
2025-03-20,SKU001,5
2025-03-21,SKU001,10
2025-03-22,SKU001,8
2025-03-23,SKU001,6
2025-03-24,SKU001,7
2025-03-25,SKU001,9
2025-03-26,SKU001,8
2025-03-27,SKU001,9
2025-03-28,SKU001,7
2025-03-29,SKU001,9
2025-03-30,SKU001,5
2025-03-31,SKU001,10
2025-04-01,SKU001,9
2025-04-02,SKU001,9
2025-04-03,SKU001,9
2025-04-04,SKU001,9
2025-04-05,SKU001,6
2025-04-06,SKU001,6
2025-04-07,SKU001,8
2025-04-08,SKU001,7
2025-04-09,SKU001,8
2025-04-10,SKU001,9
2025-04-11,SKU001,6
2025-04-12,SKU001,6
2025-04-13,SKU001,5
2025-04-14,SKU001,8
2025-04-15,SKU001,8
2025-04-16,SKU001,7
2025-04-17,SKU001,9
2025-04-18,SKU001,7
2025-04-19,SKU001,9
2025-04-20,SKU001,6
2025-04-21,SKU001,7
2025-04-22,SKU001,9
2025-04-23,SKU001,7
2025-04-24,SKU001,6
2025-04-25,SKU001,9
2025-04-26,SKU001,7
2025-04-27,SKU001,6
2025-04-28,SKU001,11
2025-04-29,SKU001,8
2025-04-30,SKU001,11
2025-05-01,SKU001,7
2025-05-02,SKU001,6
2025-05-03,SKU001,7
2025-05-04,SKU001,6
2025-05-05,SKU001,6
2025-05-06,SKU001,7
2025-05-07,SKU001,9
2025-05-08,SKU001,5
2025-05-09,SKU001,6
2025-05-10,SKU001,7
2025-05-11,SKU001,4
2025-05-12,SKU001,6
2025-05-13,SKU001,7
2025-05-14,SKU001,7
2025-05-15,SKU001,7
2025-05-16,SKU001,5
2025-05-17,SKU001,9
2025-05-18,SKU001,5
2025-05-19,SKU001,9
2025-05-20,SKU001,10
2025-05-21,SKU001,5
2025-05-22,SKU001,9
2025-05-23,SKU001,8
2025-05-24,SKU001,7
2025-05-25,SKU001,7
2025-05-26,SKU001,7
2025-05-27,SKU001,7
2025-05-28,SKU001,9
2025-05-29,SKU001,11
2025-05-30,SKU001,9
2025-05-31,SKU001,10
2025-06-01,SKU001,6
2025-06-02,SKU001,9
2025-06-03,SKU001,7
2025-06-04,SKU001,6
2025-06-05,SKU001,7
2025-06-06,SKU001,7
2025-06-07,SKU001,8
2025-06-08,SKU001,6
2025-06-09,SKU001,9
2025-06-10,SKU001,9
2025-06-11,SKU001,10
2025-06-12,SKU001,10
2025-06-13,SKU001,8
2025-06-14,SKU001,9
2025-06-15,SKU001,5
2025-06-16,SKU001,8
2025-06-17,SKU001,5
2025-06-18,SKU001,7
2025-06-19,SKU001,9
2025-06-20,SKU001,6
2025-06-21,SKU001,6
2025-06-22,SKU001,5
2025-06-23,SKU001,7
2025-06-24,SKU001,7
2025-06-25,SKU001,9
2025-06-26,SKU001,6
2025-06-27,SKU001,10
2025-06-28,SKU001,9
2025-06-29,SKU001,8
2025-06-30,SKU001,9
2025-07-01,SKU001,9
2025-07-02,SKU001,5
2025-07-03,SKU001,10
2025-07-04,SKU001,6
2025-07-05,SKU001,5
2025-07-06,SKU001,7
2025-07-07,SKU001,5
