date,sku,event,qty,receipt_date,note
2025-01-01,SKU001,SNAPSHOT,63,,Initial inventory snapshot
2025-01-01,SKU002,SNAPSHOT,74,,Initial inventory snapshot
2025-01-01,SKU003,SNAPSHOT,91,,Initial inventory snapshot
2025-01-01,SKU004,SNAPSHOT,71,,Initial inventory snapshot
2025-01-01,SKU005,SNAPSHOT,67,,Initial inventory snapshot
2025-01-01,SKU006,SNAPSHOT,41,,Initial inventory snapshot
2025-01-01,SKU007,SNAPSHOT,58,,Initial inventory snapshot
2025-01-01,SKU008,SNAPSHOT,24,,Initial inventory snapshot
2025-01-01,SKU009,SNAPSHOT,68,,Initial inventory snapshot
2025-01-01,SKU010,SNAPSHOT,38,,Initial inventory snapshot
2025-01-01,SKU011,SNAPSHOT,36,,Initial inventory snapshot
2025-01-01,SKU012,SNAPSHOT,34,,Initial inventory snapshot
2025-01-01,SKU013,SNAPSHOT,61,,Initial inventory snapshot
2025-01-01,SKU014,SNAPSHOT,64,,Initial inventory snapshot
2025-01-01,SKU015,SNAPSHOT,98,,Initial inventory snapshot
2025-01-01,SKU016,SNAPSHOT,96,,Initial inventory snapshot
2025-01-01,SKU017,SNAPSHOT,75,,Initial inventory snapshot
2025-01-01,SKU018,SNAPSHOT,81,,Initial inventory snapshot
2025-01-01,SKU019,SNAPSHOT,37,,Initial inventory snapshot
2025-01-01,SKU020,SNAPSHOT,60,,Initial inventory snapshot
2025-01-01,SKU021,SNAPSHOT,74,,Initial inventory snapshot
2025-01-01,SKU022,SNAPSHOT,42,,Initial inventory snapshot
2025-01-01,SKU023,SNAPSHOT,43,,Initial inventory snapshot
2025-01-01,SKU024,SNAPSHOT,43,,Initial inventory snapshot
2025-01-01,SKU025,SNAPSHOT,35,,Initial inventory snapshot
2025-01-01,SKU026,SNAPSHOT,97,,Initial inventory snapshot
2025-01-01,SKU027,SNAPSHOT,21,,Initial inventory snapshot
2025-01-01,SKU028,SNAPSHOT,62,,Initial inventory snapshot
