date,sku,qty_sold
2026-01-13,CAFE001,9
2026-01-13,LATTE002,11
2026-01-13,PASTA003,4
2026-01-14,CAFE001,7
2026-01-14,LATTE002,27
2026-01-14,PASTA003,5
2026-01-15,CAFE001,10
2026-01-15,LATTE002,13
2026-01-15,PASTA003,5
2026-01-16,CAFE001,6
2026-01-16,LATTE002,16
2026-01-16,PASTA003,5
2026-01-17,CAFE001,4
2026-01-17,LATTE002,10
2026-01-17,PASTA003,3
2026-01-18,CAFE001,4
2026-01-18,LATTE002,8
2026-01-18,PASTA003,2
2026-01-19,CAFE001,10
2026-01-19,LATTE002,11
2026-01-19,PASTA003,5
2026-01-20,CAFE001,9
2026-01-20,LATTE002,18
2026-01-20,PASTA003,4
2026-01-21,CAFE001,10
2026-01-21,LATTE002,18
2026-01-21,PASTA003,4
2026-01-22,CAFE001,6
2026-01-22,LATTE002,30
2026-01-22,PASTA003,5
2026-01-23,CAFE001,10
2026-01-23,LATTE002,27
2026-01-23,PASTA003,5
2026-01-24,CAFE001,7
2026-01-24,LATTE002,13
2026-01-24,PASTA003,3
2026-01-25,CAFE001,5
2026-01-25,LATTE002,12
2026-01-25,PASTA003,2
2026-01-26,CAFE001,8
2026-01-26,LATTE002,26
2026-01-26,PASTA003,4
2026-01-27,CAFE001,7
2026-01-27,LATTE002,17
2026-01-27,PASTA003,4
2026-01-28,CAFE001,7
2026-01-28,LATTE002,13
2026-01-28,PASTA003,4
2026-01-29,CAFE001,9
2026-01-29,LATTE002,19
2026-01-29,PASTA003,4
2026-01-30,CAFE001,7
2026-01-30,LATTE002,17
2026-01-30,PASTA003,5
2026-01-31,CAFE001,6
2026-01-31,LATTE002,16
2026-01-31,PASTA003,2
2026-02-01,CAFE001,4
2026-02-01,LATTE002,7
2026-02-01,PASTA003,2
2026-02-02,CAFE001,10
2026-02-02,LATTE002,25
2026-02-02,PASTA003,5
2026-01-15,LOWMOVE001,1
2026-01-18,LOWMOVE001,1
2026-01-21,LOWMOVE001,1
2026-01-24,LOWMOVE001,1
2026-01-27,LOWMOVE001,1
2026-01-30,LOWMOVE001,1
2026-02-02,LOWMOVE001,1
